Ctrl_602_R1B1	LMP_602_R1B1	Ola_602_R1B1	LMP.Olap_602_R1B1	Ctrl_602_R2B2	LMP_602_R2B2	Ola_602_R2B2	LMP.Olap_602_R2B2
ENSG00000015568.13|RGPD5	146.39	128.54	356.53	47.58	37.89	242	334.35	93.54
ENSG00000015592.16|STMN4	8	11	20	17	2	5	2	4
ENSG00000015676.18|NUDCD3	2472	2377	2804	2589	2506	2712	2380	2568
ENSG00000016391.11|CHDH	105	94	108	88	71	91	73	105
ENSG00000016864.18|GLT8D1	526	522	531	555	557	556	533	524
ENSG00000017260.19|ATP2C1	1306.76	1280.33	1570.29	1505.38	1667.61	1552.04	1390.46	1563.05
ENSG00000017797.13|RALBP1	778	876	993	939	900	1062	910	975
ENSG00000018189.13|RUFY3	2460	2563	3151	2652	3085	2900	2702	2830
ENSG00000018236.15|CNTN1	67	55	87	73	77	48	54	62
ENSG00000018280.17|SLC11A1	17	12	7	13	15	13	16	10
ENSG00000018408.14|WWTR1	440.45	353.4	514.79	451.16	594.84	578.14	654.44	637.23
ENSG00000018510.15|AGPS	1036	1120	1305	1288.5	1393	1197	1205	1305
ENSG00000018610.14|CXorf56	531	516	586.95	582.76	577.45	577	552.85	588
ENSG00000018699.13|TTC27	255	245	322	255	322	260	285	260
ENSG00000018869.16|ZNF582	94.63	122.8	115.84	112.11	110.45	121.84	112.25	123.29
ENSG00000019144.19|PHLDB1	1089.18	1139	1209	1132	944	1219	971	1079
ENSG00000019485.13|PRDM11	355	348	358	403	355	434	357	333
ENSG00000019549.12|SNAI2	119	98	142	92	179	174	186	144
ENSG00000019991.17|HGF	8	4	13	7	13	4	14	9
ENSG00000019995.6|ZRANB1	489.43	475.47	566.61	598.39	487.89	561.27	479.37	566.51
ENSG00000020129.16|NCDN	567	656	620	615	529	692	518	523
ENSG00000020181.17|ADGRA2	79.97	107.5	97.49	108.91	80.46	105.93	81.62	103.13
ENSG00000020256.20|ZFP64	498	508	563	531	411	565	448	474
ENSG00000020426.11|MNAT1	406	316	380	405	415	407	377	371
ENSG00000020577.13|SAMD4A	876	779	996	813	931	874	963	820
ENSG00000020633.18|RUNX3	22	23	16	20	15	23	25	17
ENSG00000020922.12|MRE11	441	447	559	589	490	479	432	592
ENSG00000021300.14|PLEKHB1	1666	1683	1638	1778	1447	1770	1391	1572
ENSG00000021574.12|SPAST	398	389	439	469	464	449	416	472
ENSG00000021762.20|OSBPL5	336	321	352	395	346	369	324	352
ENSG00000021776.11|AQR	2071	2114	2492	2317	2424	2432	2087	2236
ENSG00000021826.15|CPS1	1432	1410	1805	1435	1552	1417	1516	1250
ENSG00000022267.17|FHL1	811	730	910	915	718	795	715	865
ENSG00000022277.12|RTF2	2117.74	1977	2131.98	2214	2081	2231.77	2003.57	2067
ENSG00000022567.9|SLC45A4	205	264	223	221	219	295	215	231
ENSG00000022840.16|RNF10	1424	1371	1599	1640	1540	1641	1443	1639
ENSG00000022976.15|ZNF839	231.31	268.13	275.67	309.65	217.88	314.67	219.11	260.35
ENSG00000023041.11|ZDHHC6	501	460	552	638	639.47	595	543	671
ENSG00000023171.18|GRAMD1B	29	33	36	33	19	28	18	32
ENSG00000023191.17|RNH1	1210	1221	1429	1382	1131	1341	1225	1097
ENSG00000023228.14|NDUFS1	2965.85	3093.75	3599.16	3438.28	3208.49	3400.44	3001.57	3517.11
ENSG00000023287.13|RB1CC1	860	916	1022	997	1087	1038	947	1061
ENSG00000023318.8|ERP44	927	902	1024	969	1024	1052	1051	1007
ENSG00000023330.15|ALAS1	772	752	904	864	814	863	777	833
ENSG00000023516.9|AKAP11	797	918	1046	965	1121	1028	869	1098
ENSG00000023572.9|GLRX2	428.41	404.1	465.59	485.55	438.83	390.84	406.95	456.12
ENSG00000023608.5|SNAPC1	277.46	341	321.39	338.43	330.86	349	290	387
ENSG00000023697.13|DERA	368	359	406	413	388	339	362	375
ENSG00000023734.11|STRAP	1724	1710	1927	1899	1742	1878	1712	1760
ENSG00000023839.11|ABCC2	11	11	10	7	9	9	7	6
ENSG00000023902.14|PLEKHO1	1014	956	1114	1120	891	1130	955	1057
ENSG00000023909.10|GCLM	168	180	214	227	242	259	248	250
ENSG00000024048.10|UBR2	902	1035	1170	1126	1150	1170	1015	1113
