LMP_923_R2B1	LMP.Olap_923_R2B1	LMP_923_R3B1	LMP.Olap_923_R3B1	LMP_923_R1B2	LMP.Olap_923_R1B2
ENSG00000013563.14|DNASE1L1	110.2	161.63	76.74	177.1	122.48	129.37
ENSG00000013573.17|DDX11	2176.63	2571.16	1650.81	2613.46	2373.92	2445.66
ENSG00000013583.10|HEBP1	306	305	238	334	292	267
ENSG00000013588.8|GPRC5A	17	15	11	5	8	6
ENSG00000013619.14|MAMLD1	1052	1217	773	1134	914	1103
ENSG00000013725.14|CD6	25	29	19	26	18	25
ENSG00000013810.19|TACC3	3269	3289.14	2643	3324	3252	2919
ENSG00000014123.10|UFL1	725	558	479	676	644	490
ENSG00000014138.9|POLA2	926.18	1093.22	615.04	1171.59	841.85	964.29
ENSG00000014164.7|ZC3H3	285	317	269	323	324	293
ENSG00000014216.15|CAPN1	690	688	596	706	775	636
ENSG00000014641.18|MDH1	2891.34	2948.3	2157.89	3206.83	3137	2644.12
ENSG00000014824.14|SLC30A9	2992	2640	1906	3099	2868	2396
ENSG00000014914.21|MTMR11	61	37	30	45	42	26
ENSG00000014919.12|COX15	623.77	675.75	460.07	723.91	693.78	608.58
ENSG00000015133.19|CCDC88C	498	414	411	364	466	371
ENSG00000015153.14|YAF2	266	183	170	244	238	181
ENSG00000015171.19|ZMYND11	1156	984	801	1073	1171	943
ENSG00000015285.10|WAS	45	72	32	67	34	48
ENSG00000015475.18|BID	737	686	622	897	783	797
ENSG00000015479.18|MATR3	11101.96	8195.96	6666.24	9630.87	10385.14	7345.75
ENSG00000015532.9|XYLT2	399	430	324	427	454	414
ENSG00000015568.13|RGPD5	338.18	174.25	278.99	36.9	180.26	85.93
ENSG00000015592.16|STMN4	55	58	27	30	39	34
ENSG00000015676.18|NUDCD3	1640	1652	1280	1627	1727	1321
ENSG00000016391.11|CHDH	137	98	80	102	104	79
ENSG00000016402.13|IL20RA	5	12	8	10	11	4
ENSG00000016864.18|GLT8D1	1208.01	983	761	1100	1192	862.01
ENSG00000017260.19|ATP2C1	2007.11	2032.22	1397.89	2155.97	2043.56	1754.65
ENSG00000017797.13|RALBP1	1357	1221	913	1423	1300	1133.12
ENSG00000018189.13|RUFY3	2354.18	1971	1451	2207	2239	1661
ENSG00000018408.14|WWTR1	4941.21	4197.08	3386.54	4941.49	5213.45	4219.48
ENSG00000018510.15|AGPS	1266	1140	903	1388	1303	1168.83
ENSG00000018610.14|CXorf56	474.88	445.97	352	465.94	484.95	388.94
ENSG00000018699.13|TTC27	229	214	193	253	242	189
ENSG00000018869.16|ZNF582	106	78.15	70.3	67.74	112.52	70.88
ENSG00000019102.12|VSIG2	7	27	9	13	11	7
ENSG00000019144.19|PHLDB1	3549.57	3279.04	2777.01	3334.82	3781	2951.76
ENSG00000019485.13|PRDM11	230	196	198	244	221	212
ENSG00000019505.8|SYT13	30	27	11	17	11	4
ENSG00000019549.12|SNAI2	486	472	445	759	604	597
ENSG00000019582.15|CD74	23	42	15	32	28	31.7
ENSG00000019995.6|ZRANB1	449.32	372.76	289.13	412.47	414.27	292.94
ENSG00000020129.16|NCDN	837	887	746	928	1012	874
ENSG00000020181.17|ADGRA2	60.66	52.62	53.87	45.77	64.04	44.43
ENSG00000020256.20|ZFP64	553	510	474	581	581	470
ENSG00000020426.11|MNAT1	393	368	252	436	401	292
ENSG00000020577.13|SAMD4A	1057	1129	688	1064	891	916
ENSG00000020633.18|RUNX3	7	6	11	15	17	7
ENSG00000020922.12|MRE11	876	869	548	1021	816	844
ENSG00000021300.14|PLEKHB1	1462	1386	1154	1294	1374	1102
ENSG00000021574.12|SPAST	574	517	381	684	685	526
ENSG00000021645.18|NRXN3	224	223	166	218	218	221
ENSG00000021762.20|OSBPL5	402	456	405	494	393	441
ENSG00000021776.11|AQR	1724	1662	1266	1932	1772	1494
ENSG00000022267.17|FHL1	2579	2653	1942	2736	2633	2292
ENSG00000022277.12|RTF2	2492	2432	1856.45	2621	2640	2180
ENSG00000022567.9|SLC45A4	143	142	131	143	195	127
ENSG00000022840.16|RNF10	2360	2037	1640	2199	2307	1818
ENSG00000022976.15|ZNF839	195.7	211.93	164.56	239.34	215.41	135.64
ENSG00000023041.11|ZDHHC6	553	604	417	516	663	495
ENSG00000023171.18|GRAMD1B	160	234	136	255	190	193
ENSG00000023191.17|RNH1	909	1059	932	1039	958	1037
ENSG00000023228.14|NDUFS1	2143.91	2086.56	1451.81	2472.44	2202.96	1969.21
ENSG00000023287.13|RB1CC1	1571	1498	999	1447	1667	1231
ENSG00000023318.8|ERP44	935	919	674	1014	945	810
ENSG00000023330.15|ALAS1	1137	1173	856	1241	1198	1039
ENSG00000023516.9|AKAP11	1066	1004	791	1230	1115	944
ENSG00000023572.9|GLRX2	314.1	260.95	240.3	354.42	349.55	237.61
ENSG00000023608.5|SNAPC1	295	294	224	315.69	307.65	240
ENSG00000023697.13|DERA	404	253	260	267	360	222
ENSG00000023734.11|STRAP	3267	2673	2309	3026	3438	2520
ENSG00000023902.14|PLEKHO1	770	667	568	657	768	603
ENSG00000023909.10|GCLM	248	267	188	369	335	292
ENSG00000024048.10|UBR2	876	809	539	888	854	741
ENSG00000024422.12|EHD2	1337	1678	1139	1586	1329	1388
ENSG00000024526.17|DEPDC1	1327.27	1104.03	989.34	1274.5	1442.78	1008.49
ENSG00000024862.17|CCDC28A	217.54	236	143	233	210	181
ENSG00000025039.14|RRAGD	748	882	497	857	717	637
ENSG00000025156.12|HSF2	791	676	518	772	745	546
ENSG00000025293.17|PHF20	2158	1973	1519	2199	2127	1740
