LMP_602_R1B1	LMP.Olap_602_R1B1	LMP_602_R2B2	LMP.Olap_602_R2B2
ENSG00000025293.17|PHF20	1561	1592	1528	1549
ENSG00000025423.11|HSD17B6	20	12	19.21	21
ENSG00000025434.19|NR1H3	241.01	257	259	300
ENSG00000025708.14|TYMP	23	20	11	13
ENSG00000025770.19|NCAPH2	1443.56	1837.67	1765.58	1781.2
ENSG00000025772.8|TOMM34	953	1160	1001	1022
ENSG00000025796.14|SEC63	2167.61	2341.5	2282.58	2192.65
ENSG00000025800.14|KPNA6	1805	2006.97	1931.9	1742.08
ENSG00000026025.16|VIM	37441.16	40765.07	46687.57	44456.85
ENSG00000026036.22|RTEL1-TNFRSF6B	660.86	776.48	695.74	673.38
ENSG00000026297.15|RNASET2	35	44	37	32
ENSG00000026508.18|CD44	2662	2990	3300	3276
ENSG00000026652.14|AGPAT4	935	914	1116	912
ENSG00000026950.17|BTN3A1	259.08	272.55	275.35	219.35
ENSG00000027001.10|MIPEP	435.16	494.33	503	524
ENSG00000027075.15|PRKCH	434	488	461	479
ENSG00000027644.5|INSRR	98	125	113	110
ENSG00000027697.14|IFNGR1	467	498	478	491
ENSG00000027847.14|B4GALT7	225	222	215	204
ENSG00000028137.19|TNFRSF1B	381	477	567	564
ENSG00000028203.18|VEZT	835	911	928	902
ENSG00000028277.21|POU2F2	19	14	20	20
ENSG00000028310.18|BRD9	1483.9	1614.56	1665.09	1501.5
ENSG00000028528.15|SNX1	2939	3065	3128	3032
ENSG00000028839.10|TBPL1	281.42	292.41	281.78	327.5
ENSG00000029153.14|ARNTL2	371	488	411	467
ENSG00000029363.16|BCLAF1	4504.23	4729.97	4614.2	4317.93
ENSG00000029364.12|SLC39A9	1064	1178	1140	1096
ENSG00000029534.20|ANK1	64	84	66	91
ENSG00000029639.11|TFB1M	163.09	170.85	180.69	196.11
ENSG00000029725.17|RABEP1	1654.5	1845.71	1842.71	1732.32
ENSG00000029993.15|HMGB3	2037	2204	2110	1963
ENSG00000030066.13|NUP160	2345	2617	2507	2606
ENSG00000030110.13|BAK1	267	289	341	335
ENSG00000030419.16|IKZF2	74	51	56	47
ENSG00000030582.18|GRN	2770	3149	2943	2686
ENSG00000031003.10|FAM13B	831	839.98	845	862.74
ENSG00000031081.10|ARHGAP31	1371	1379	1543	1385
ENSG00000031691.7|CENPQ	244	316	253	280
ENSG00000031698.13|SARS	1301	1364	1388	1287
ENSG00000031823.14|RANBP3	1459	1650	1635	1461
ENSG00000032219.18|ARID4A	1073	1176	1091	1098
ENSG00000032389.12|EIPR1	293	366	342	304
