Ctrl_602_R1B1	LMP.Olap_602_R1B1	Ctrl_602_R2B2	LMP.Olap_602_R2B2
ENSG00000025708.14|TYMP	26	20	15	13
ENSG00000025770.19|NCAPH2	1387.46	1837.67	1366.95	1781.2
ENSG00000025772.8|TOMM34	977	1160	849	1022
ENSG00000025796.14|SEC63	2063.66	2341.5	2286.76	2192.65
ENSG00000025800.14|KPNA6	1699.46	2006.97	1799.15	1742.08
ENSG00000026025.16|VIM	39851.08	40765.07	44044.84	44456.85
ENSG00000026036.22|RTEL1-TNFRSF6B	487.22	776.48	479.68	673.38
ENSG00000026297.15|RNASET2	43	44	36	32
ENSG00000026508.18|CD44	2512	2990	3015	3276
ENSG00000026652.14|AGPAT4	931	914	1000	912
ENSG00000026950.17|BTN3A1	270.62	272.55	233.42	219.35
ENSG00000027001.10|MIPEP	529	494.33	500	524
ENSG00000027075.15|PRKCH	459	488	446.26	479
ENSG00000027644.5|INSRR	107	125	92	110
ENSG00000027697.14|IFNGR1	386	498	483	491
ENSG00000027847.14|B4GALT7	213	222	200	204
ENSG00000028137.19|TNFRSF1B	338	477	375	564
ENSG00000028203.18|VEZT	774	911	934	902
ENSG00000028277.21|POU2F2	12	14	16	20
ENSG00000028310.18|BRD9	1563.05	1614.56	1479.32	1501.5
ENSG00000028528.15|SNX1	2984	3065	3118	3032
ENSG00000028839.10|TBPL1	248.58	292.41	261.73	327.5
ENSG00000029153.14|ARNTL2	309	488	377	467
ENSG00000029363.16|BCLAF1	4176.33	4729.97	4644.84	4317.93
ENSG00000029364.12|SLC39A9	1009	1178	1133	1096
ENSG00000029534.20|ANK1	94	84	72	91
ENSG00000029639.11|TFB1M	155.83	170.85	160.78	196.11
ENSG00000029725.17|RABEP1	1703.39	1845.71	1787.28	1732.32
ENSG00000029993.15|HMGB3	1864	2204	1945.99	1963
ENSG00000030066.13|NUP160	2198	2617	2577	2606
ENSG00000030110.13|BAK1	261	289	312	335
ENSG00000030419.16|IKZF2	50	51	70	47
ENSG00000030582.18|GRN	2740	3149	2156	2686
ENSG00000031003.10|FAM13B	680	839.98	750	862.74
ENSG00000031081.10|ARHGAP31	1440	1379	1480	1385
ENSG00000031691.7|CENPQ	217	316	250	280
ENSG00000031698.13|SARS	1276	1364	1326	1287
ENSG00000031823.14|RANBP3	1366	1650	1345	1461
