	Ctrl_602_R1B1	Ola_602_R1B1	Ctrl_602_R2B2	Ola_602_R2B2
ENSG00000117640.18|MTFR1L	5.9298135279732	5.86945442576208	5.88492781280058	5.9143401409347
ENSG00000117643.14|MAN1C1	5.32206871651651	5.23847714217569	5.17316037979709	5.38738547889511
ENSG00000117650.13|NEK2	5.40489216756082	5.63686971700732	5.43400555691994	5.60775632764819
ENSG00000117676.14|RPS6KA1	4.99726900364209	4.78809451783864	4.90967843569515	4.87568508578558
ENSG00000117682.17|DHDDS	5.21380669806057	5.28837296336891	5.2049175617888	5.29726209964068
ENSG00000117691.10|NENF	4.78815358430364	4.77007325931257	4.73316429431365	4.82506254930256
ENSG00000117697.15|NSL1	5.24616109848728	5.36778135351867	5.33559163311265	5.2783508188933
ENSG00000117707.15|PROX1	7.58065457523028	7.77044789995958	7.71331701090821	7.63778546428165
ENSG00000117713.20|ARID1A	7.4299743689461	7.42523770209441	7.35038551581452	7.50482655522599
ENSG00000117724.13|CENPF	8.98656935612052	9.17023677002219	9.03723010766349	9.11957601847922
ENSG00000117748.10|RPA2	6.62053538284588	6.54803053962591	6.62620049693997	6.54236542553182
ENSG00000117751.18|PPP1R8	6.48745596878582	6.44771907529007	6.52569287523296	6.40948216884293
ENSG00000117758.14|STX12	6.10547443844473	5.98862383838865	6.01675953618083	6.07733874065254
ENSG00000117859.19|OSBPL9	5.46740104611795	5.4551288949974	5.49250854312492	5.43002139799043
ENSG00000117862.12|TXNDC12	5.03570596874497	4.77153050661706	4.84802957888924	4.95920689647278
ENSG00000117868.16|ESYT2	5.4598205249166	5.4575378881376	5.41387506697676	5.50348334607743
ENSG00000117877.10|CD3EAP	3.21123842515205	3.3871114367019	3.38191496744647	3.21643489440748
ENSG00000117899.11|MESD	6.6025025758364	6.69483037326939	6.66760912424084	6.62972382486494
ENSG00000117906.14|RCN2	8.26735938163751	8.21829868976085	8.29661267206049	8.18904539933787
ENSG00000117984.14|CTSD	7.39583232902313	7.35105129370899	7.214266318439	7.53261730429311
ENSG00000118004.17|COLEC11	-0.390860534354769	-1.71019706245007	-0.64298258725681	-1.45807500954802
ENSG00000118007.13|STAG1	6.22198602896771	6.3329843197226	6.39177858666116	6.16319176202914
ENSG00000118046.15|STK11	6.42667941503282	6.33093894700393	6.32801619685496	6.42960216518179
ENSG00000118058.21|KMT2A	6.3270138425762	6.48625538977593	6.43071146661606	6.38255776573607
ENSG00000118096.7|IFT46	4.50948646413582	4.47306017024498	4.61907086633531	4.36347576804549
ENSG00000118160.14|SLC8A2	0.51478726980735	-0.520693913127465	-0.179430168254972	0.173523524934857
ENSG00000118162.14|KPTN	4.10906949301592	4.06405605045089	4.18306854971817	3.99005699374864
ENSG00000118181.11|RPS25	7.99387935312054	7.88752424961236	7.98140758309361	7.89999601963929
ENSG00000118193.12|KIF14	6.23653885643529	6.54574623181563	6.35435477176561	6.42793031648531
ENSG00000118197.14|DDX59	3.93054450431499	4.02375169897348	4.11104213380359	3.84325406948489
