	LMP_602_R1B1	LMP.Olap_602_R1B1	LMP_602_R2B2	LMP.Olap_602_R2B2
ENSG00000164061.5|BSN	2.95495239743764	3.05873880707104	3.04722706553447	2.9664641389742
ENSG00000164062.13|APEH	6.13711001023062	6.03720561502777	6.04409101543277	6.13022460982562
ENSG00000164066.13|INTU	2.78649313486209	2.99607349222505	2.88007440698972	2.90249222009742
ENSG00000164068.16|RNF123	5.14606372291541	5.10660623287191	5.22122049370027	5.03144946208705
ENSG00000164070.12|HSPA4L	4.60943794462859	4.81699844586916	4.68849987787408	4.73793651262367
ENSG00000164073.10|MFSD8	3.78904189701736	3.86714210295359	3.74720744820082	3.90897655177013
ENSG00000164074.15|ABHD18	3.22123971496657	3.40632600890732	3.14873943098276	3.47882629289113
ENSG00000164076.17|CAMKV	0.0781204425986545	0.578200098698115	0.280987355610611	0.375333185686159
ENSG00000164077.14|MON1A	2.98199666588331	3.09677580923827	3.09293025092978	2.9858422241918
ENSG00000164080.13|RAD54L2	5.60740019382723	5.46583485887684	5.62219648012448	5.45103857257959
ENSG00000164081.12|TEX264	4.68848186222755	4.72974972285782	4.80605855338535	4.61217303170003
ENSG00000164082.15|GRM2	2.980200850061	3.45342810199211	2.98665671640753	3.44697223564557
ENSG00000164086.10|DUSP7	3.92420317647685	4.09686980573739	3.98466623221948	4.03640674999476
ENSG00000164087.7|POC1A	4.88140713350038	5.01794788070232	4.92523513884393	4.97411987535877
ENSG00000164088.18|PPM1M	3.88009466966535	3.98529498223283	4.0770677741161	3.78832187778207
ENSG00000164091.12|WDR82	7.48940179331114	7.48855764693189	7.50194208715188	7.47601735309115
ENSG00000164096.13|C4orf3	5.82826165080427	5.74764903725305	5.79616427680917	5.77974641124815
ENSG00000164104.11|HMGB2	8.57057632817846	8.75447924139681	8.60424646155166	8.72080910802361
ENSG00000164105.4|SAP30	4.676509475194	4.84790109466694	4.72384939536472	4.80056117449622
ENSG00000164106.8|SCRG1	0.536960037282944	-0.246432169478574	0.700583367791102	-0.410055499986731
ENSG00000164109.14|MAD2L1	6.80054937174377	6.80460697986791	6.77043824658681	6.83471810502487
ENSG00000164111.15|ANXA5	6.79293274905747	6.75673525645387	6.72985418059571	6.81981382491562
ENSG00000164114.19|MAP9	4.5668195636776	4.6132972689637	4.58032823164097	4.59978860100034
ENSG00000164117.13|FBXO8	3.61811056662404	3.6347649099165	3.58908365378634	3.6637918227542
ENSG00000164118.13|CEP44	4.67854299232609	4.48716486617867	4.50254342151103	4.66316443699373
ENSG00000164134.13|NAA15	6.43105622703355	6.35669642685261	6.41265897687043	6.37509367701574
ENSG00000164144.16|ARFIP1	4.92643556487824	4.80383748304725	4.81043722382141	4.91983582410407
ENSG00000164151.12|ICE1	7.63632183519437	7.61483224990423	7.61117165535834	7.63998242974026
ENSG00000164161.10|HHIP	0.569343043703151	0.646214942785425	0.577520957505878	0.638037028982698
ENSG00000164162.14|ANAPC10	3.30280077241726	3.70078325078567	3.45973156771908	3.54385245548384
ENSG00000164163.11|ABCE1	7.29957075721688	7.2407815232561	7.18569265503697	7.35465962543601
ENSG00000164164.16|OTUD4	5.96410622056396	5.88852597590591	5.88434898026905	5.96828321620081
ENSG00000164167.12|LSM6	4.59474578124661	4.58502352087225	4.65981352394946	4.5199557781694
ENSG00000164168.7|TMEM184C	5.82927998690806	5.77128721421333	5.78687436201759	5.8136928391038
ENSG00000164169.13|PRMT9	3.95649258111268	3.65082996904639	3.80799036037574	3.79933218978333
ENSG00000164171.11|ITGA2	5.84390874077745	5.77929535231402	5.82818317903198	5.79502091405948
ENSG00000164172.19|MOCS2	5.75038541123889	5.81657019311712	5.68602254416981	5.8809330601862
ENSG00000164180.13|TMEM161B	5.68699605575033	5.64602520161104	5.57431399799929	5.75870725936208
ENSG00000164181.14|ELOVL7	-0.329943447761908	-0.682592671326146	-0.870747776458805	-0.141788342629249
ENSG00000164182.11|NDUFAF2	3.96108234246295	3.98259808617511	3.94153582447317	4.00214460416489
ENSG00000164187.7|LMBRD2	5.3145466352081	5.47358336646642	5.25200345108526	5.53612655058927
ENSG00000164188.8|RANBP3L	1.5579486583708	1.0767124707923	1.46548926378083	1.16917186538227
ENSG00000164190.18|NIPBL	7.16633121776997	7.09795089294079	7.16054848943084	7.10373362127992
