	Ctrl_602_R1B1	LMP_602_R1B1	Ola_602_R1B1	LMP.Olap_602_R1B1	Ctrl_602_R2B2	LMP_602_R2B2	Ola_602_R2B2	LMP.Olap_602_R2B2
ENSG00000001617.12|SEMA3F	-0.884162226114249	-1.32083136588294	-0.740991779355701	-0.0264148870234333	-1.10346713413549	-0.0372818981555103	-1.08648317660089	-0.745168049484429
ENSG00000001629.10|ANKIB1	6.59515043086065	6.60826025181033	6.67429671868043	6.57613147626842	6.69379706086583	6.5489859575637	6.66673451812779	6.54432134106252
ENSG00000001630.17|CYP51A1	6.97846169128163	6.95729937565726	6.9780941404592	6.91675759503296	7.11104103465922	6.88216863231413	6.89128791906163	6.94611521639607
ENSG00000001631.15|KRIT1	6.33291449705267	6.17028597303564	6.25317792265839	6.10864559623324	6.16305075677098	6.28905031824755	6.23109851046855	6.18182440349285
ENSG00000002016.17|RAD52	4.38591620747089	4.36579294893405	4.28980191981005	4.32536581676774	4.39346014157115	4.38858759308293	4.3909277618579	4.19390139647076
ENSG00000002330.13|BAD	4.13591574362989	4.12513881945082	4.41224398783693	4.33911952029776	4.12182753930405	4.28898395938532	4.23845400995425	4.36315256257179
ENSG00000002549.12|LAP3	6.50841745892911	6.54820194007718	6.40709305470171	6.49261531207751	6.45021993562974	6.55946966172399	6.45590471679539	6.49073345163638
ENSG00000002586.20|CD99	6.03004851539872	5.82722333355944	5.93525081778236	5.75394699126359	5.97179703439841	5.78514270106341	6.11079900021216	5.67873092233012
ENSG00000002586.20|PAR|Y|CD99	6.03004851539872	5.82722333355944	5.93525081778236	5.75394699126359	5.97179703439841	5.78514270106341	6.11079900021216	5.67873092233012
ENSG00000002587.10|HS3ST1	4.6769996799868	4.48401177349342	4.45973756057836	4.52133952436274	4.45828022282156	4.56970389772585	4.65312714240857	4.46097727546534
ENSG00000002822.15|MAD1L1	4.78058511142706	4.42456648560897	4.64413866931554	4.42536031454946	4.61949565568154	4.5504525580721	4.63198029142477	4.47272207572264
ENSG00000002834.18|LASP1	8.39206892954335	8.4359918653936	8.35510486558921	8.47892873017249	8.33593690517216	8.4835911704386	8.36987366395889	8.472692651129
ENSG00000002919.14|SNX11	4.26788282170259	4.44984093588776	4.39558055891053	4.45858726993934	4.29517808718846	4.52768919803389	4.34582026855373	4.40320403266413
ENSG00000003056.8|M6PR	6.27749322338949	6.24396619106191	6.22830756103691	6.24019382004192	6.29557177932586	6.26150068111219	6.19682957524818	6.23605875984402
ENSG00000003096.14|KLHL13	6.39117141087435	6.41759787505369	6.56404068471921	6.45540960684586	6.55940140726588	6.31117135011231	6.50238816362761	6.4552586564873
ENSG00000003137.8|CYP26B1	1.92795595960033	1.0014701165348	1.40515884764551	1.83747966524427	1.65814237401708	1.59502998599955	1.30382639469653	1.61506583431175
ENSG00000003147.19|ICA1	5.40014856677796	5.37958902652994	5.42025111148881	5.40526785810304	5.42477731482983	5.35477230760834	5.41246261056175	5.41324432989984
ENSG00000003249.13|DBNDD1	4.92931607443637	5.02443886917034	4.85283940331585	5.24735989871928	4.8247340025754	5.1697602375606	5.00453294215079	5.05492706335505
ENSG00000003393.15|ALS2	6.4799513453429	6.47979871383004	6.57550533784122	6.54404355052487	6.55828259110907	6.55371290307567	6.47102353330133	6.49627992005297
ENSG00000003402.20|CFLAR	6.36370007936655	6.57441506169226	6.52281267332026	6.4180972915602	6.44409304997044	6.46570068760738	6.41609547558104	6.55313589278042
ENSG00000003436.16|TFPI	6.16503336977456	6.0102555764544	6.08420482093726	5.84465152929334	6.23288308931102	5.95222964301582	6.01211055483464	5.90692200929808
ENSG00000003509.16|NDUFAF7	4.49965458095895	4.47893300050345	4.64362264226999	4.59138673220037	4.53107356246249	4.61611674798079	4.47820505537111	4.58820159011837
ENSG00000003756.16|RBM5	7.4895661794822	7.46210567540091	7.46919876961679	7.44443559654962	7.49720326780497	7.45633695846431	7.39207709919893	7.5196888955813
ENSG00000003987.14|MTMR7	0.557833162425367	0.682363244062867	1.09320190067556	0.412677582818166	0.803169782958471	0.601988939554437	0.415893401127482	0.925023766341569
ENSG00000003989.17|SLC7A2	3.0513097252665	3.45343187183219	3.38606147908566	3.28163894049651	3.38238626543484	3.15285499441284	3.39018344794559	3.24701730888759
ENSG00000004059.11|ARF5	6.00949979296848	5.95526937932551	5.92362067593542	5.97966351826906	5.87419742154729	6.02847953133016	6.06063155328262	5.9047448603384
ENSG00000004139.14|SARM1	6.37879105194244	6.44168706671435	6.41966566391237	6.40413257781642	6.31974421875553	6.50169767918768	6.44550167475365	6.37733278768872
ENSG00000004142.12|POLDIP2	7.27692244263472	7.17387374692709	7.20987786698339	7.25998117845478	7.19892039160412	7.22168714562906	7.24977214552008	7.25027555224673
ENSG00000004399.12|PLXND1	5.44310373321829	5.41824144891273	5.37497835541898	5.48682755632249	5.21141579607391	5.56629371545819	5.5332650802319	5.41217650210849
ENSG00000004455.16|AK2	6.92333829637943	6.98076443027743	6.97155118827544	6.91630073049735	6.98396604220366	6.93240308821109	6.91654220567033	6.95904330934457
ENSG00000004468.13|CD38	-1.44761079520577	-1.0274665793817	-1.75414285688323	-0.890641295843984	-0.513649498491956	-1.4430490942247	-1.5814057001367	-1.58175723446132
ENSG00000004478.8|FKBP4	7.01353757169443	7.02024767670893	7.01103770560497	7.15572387539209	6.92180285838438	7.14074573560794	6.98319693620078	7.15480129920733
ENSG00000004487.16|KDM1A	7.74226681749772	7.65969605046719	7.71295045526124	7.65923259452816	7.67326850459799	7.71509436479116	7.66169483566855	7.72408821269661
ENSG00000004534.15|RBM6	6.99572928530988	6.86374078094119	6.9901002980603	6.82855441726596	7.01986693987183	6.90599005848133	6.93240234264016	6.819865440584
ENSG00000004660.14|CAMKK1	2.21676479144857	2.5052815539126	2.00538233314427	2.28507392191451	2.36745611583384	2.40180506028292	2.32152793017849	1.92171349412471
ENSG00000004700.16|RECQL	5.84415473019696	6.02025149255975	5.98422056207087	6.25871684856232	6.04708020760781	5.97458005934884	5.99693450750773	6.08874885892552
ENSG00000004766.17|VPS50	5.26033941929395	5.31924370488857	5.18665571514917	5.20919277517147	5.42042952962631	5.18537698601201	5.20329887870374	5.16632622016111
ENSG00000004776.13|HSPB6	-1.42897516589571	-2.12019131359792	-1.30720474405933	-3.07072040296286	-2.10527795364407	-1.40719068686929	-2.42093590820088	-1.99368707780158
