	Ctrl_602_R1B1	LMP_602_R1B1	Ctrl_602_R2B2	LMP_602_R2B2
ENSG00000166454.10|ATMIN	6.43457165352264	6.54490613256055	6.51456236840288	6.4649154176803
ENSG00000166455.13|C16orf46	-1.64860369670473	-0.462559718550276	-1.51286304128244	-0.598300373972565
ENSG00000166471.11|TMEM41B	4.93891016665714	4.90297690643229	4.94179506132963	4.9000920117598
ENSG00000166477.13|LEO1	5.81905367976981	5.78770262991824	5.85442027897156	5.75233603071649
ENSG00000166478.10|ZNF143	4.78714011623786	4.69512765229665	4.79260203586811	4.6896657326664
ENSG00000166479.10|TMX3	6.90557736859213	6.98453321909428	7.05028091218962	6.8398296754968
ENSG00000166482.11|MFAP4	3.45901887136416	4.06818080086214	3.18422868330717	4.34297098891913
ENSG00000166483.11|WEE1	5.89118649226085	5.78164461424794	5.92532499205953	5.74750611444926
ENSG00000166484.20|MAPK7	5.2019700085861	5.21516630975667	4.99264392560669	5.42449239273608
ENSG00000166503.9|HDGFL3	7.09824773759456	7.12871586484831	7.06936340495538	7.15760019748749
ENSG00000166507.17|NDST2	4.45672348834862	4.3030567188411	4.40641215599743	4.35336805119229
ENSG00000166508.17|MCM7	8.92292342628034	8.75313973336496	8.79428233210052	8.88178082754478
ENSG00000166526.17|ZNF3	6.52710913672284	6.54275989494621	6.58779512545492	6.48207390621412
ENSG00000166529.14|ZSCAN21	5.24488057403515	4.99770993502958	5.1221289466655	5.12046156239922
ENSG00000166532.16|RIMKLB	5.5598810196115	5.6675073545671	5.62964446347039	5.59774391070821
ENSG00000166546.14|BEAN1	0.564083449272213	0.230470465596276	-0.247389201481325	1.04194311634981
ENSG00000166548.15|TK2	5.61975409397385	5.63696100843679	5.65071339674381	5.60600170566683
ENSG00000166557.13|TMED3	5.90373284088724	5.55191245122233	5.7711758513376	5.68446944077197
ENSG00000166562.9|SEC11C	5.58359439451582	5.49622445589793	5.56498419793077	5.51483465248297
ENSG00000166575.17|TMEM135	4.50268202201992	4.30186262603578	4.55620824371349	4.24833640434221
ENSG00000166578.10|IQCD	2.26916391326462	2.00110060345807	2.22538808410982	2.04487643261286
ENSG00000166579.15|NDEL1	4.86823542212428	4.98082772672623	4.81290243055966	5.03616071829084
ENSG00000166582.10|CENPV	0.539524035699236	-0.0487461059284887	0.273848655802168	0.216929273968579
ENSG00000166595.12|CIAO2B	4.91091507431777	5.03461907299969	4.89771822521848	5.04781592209898
ENSG00000166598.15|HSP90B1	9.65655580555693	9.48925061229996	9.70274843276833	9.44305798508855
ENSG00000166619.14|BLCAP	5.49093718327063	5.39188260408438	5.52649560470891	5.3563241826461
ENSG00000166676.16|TVP23A	-0.915849994875063	-0.342718707720217	-0.454739448804078	-0.803829253791202
ENSG00000166681.13|BEX3	6.60065421075782	6.51762219418858	6.58696176867382	6.53131463627258
ENSG00000166682.12|TMPRSS5	4.16430514015727	4.45634429663289	4.07481124957144	4.54583818721872
ENSG00000166685.12|COG1	5.74244264500737	5.73544481868769	5.68858359399911	5.78930386969596
ENSG00000166689.16|PLEKHA7	4.43817748965306	4.38193673384924	4.36186967937145	4.45824454413086
ENSG00000166704.11|ZNF606	5.20970016648119	5.23249463295253	5.26966758912574	5.17252721030798
ENSG00000166707.11|ZCCHC18	1.39521407463183	1.67902962806324	1.65201103003434	1.42223267266073
