Ctrl_417_R1B1	LMP_417_R1B1	Ctrl_417_R2B2	LMP_417_R2B2	Ctrl_417_R3B2	LMP_417_R3B2
ENSG00000018189.13|RUFY3	1144	992	967	807	1039	746
ENSG00000018236.15|CNTN1	69	73	44	59	2505	2291
ENSG00000018280.17|SLC11A1	19	14	11	11	2	5
ENSG00000018408.14|WWTR1	236.2	156.01	167.44	162.14	373.47	372.24
ENSG00000018510.15|AGPS	1544.39	1293	1310	1204	1887	1439
ENSG00000018610.14|CXorf56	615.99	525.98	496.97	448	579	477
ENSG00000018699.13|TTC27	358	259	251	224	314	247
ENSG00000018869.16|ZNF582	97.63	93.17	63.56	82.43	59.16	50.22
ENSG00000019144.19|PHLDB1	3946.14	3840	2718.15	2320.16	2001.24	2040.72
ENSG00000019485.13|PRDM11	252	277	238	246	230	279
ENSG00000019549.12|SNAI2	116	103	124	109	211	148
ENSG00000019991.17|HGF	701	546	713	573	368	297
ENSG00000019995.6|ZRANB1	1137.59	828.38	789.06	693.64	680.34	609.19
ENSG00000020129.16|NCDN	1043	1056	1016	826	910	1041
ENSG00000020181.17|ADGRA2	282.07	229.31	184.86	214.63	196.99	236.87
ENSG00000020256.20|ZFP64	319	325	272	285	185	215
ENSG00000020426.11|MNAT1	532	413	407	386	568	435
ENSG00000020577.13|SAMD4A	604	556	572	570	1107	785
ENSG00000020922.12|MRE11	470	385	330	381	515	450
ENSG00000021300.14|PLEKHB1	1899	1670	1876	1649	737	593
ENSG00000021574.12|SPAST	822	631	615	575	617	532
ENSG00000021762.20|OSBPL5	192	216	186	160	154	189
ENSG00000021776.11|AQR	1251	1023	1135	1017	1304	1000
ENSG00000021826.15|CPS1	123	78	194	181	237	156
ENSG00000022267.17|FHL1	2108	1619	1572	1523	1927	1824
ENSG00000022277.12|RTF2	2216	2022.74	1753.63	1508	1864	1519
ENSG00000022567.9|SLC45A4	258	223	159	200	215	256
ENSG00000022840.16|RNF10	2722	2370	1996	1966	2374	2114
ENSG00000022976.15|ZNF839	301.78	305.06	238.36	184.86	211.11	211.7
ENSG00000023041.11|ZDHHC6	1064	884	853	830	1237	1126
ENSG00000023171.18|GRAMD1B	1548	1323	1285	1143	903	618
ENSG00000023191.17|RNH1	1054	939	881	776	646	1014
ENSG00000023228.14|NDUFS1	4784.38	3829.69	3841.22	3370.65	3742.9	3188.07
ENSG00000023287.13|RB1CC1	1203	998	1007	879	974	799
ENSG00000023318.8|ERP44	1495	1135	1198	1117	1277	1021
ENSG00000023330.15|ALAS1	1564	1408	1227	1186	2003	1913
