Ola_417_R1B1	LMP.Olap_417_R1B1	Ola_417_R2B2	LMP.Olap_417_R2B2	Ola_417_R3B2	LMP.Olap_417_R3B2
ENSG00000028203.18|VEZT	1137	1391	1296	997	1336	1314
ENSG00000028310.18|BRD9	810.65	1076.87	875.78	631.57	794.17	718.27
ENSG00000028528.15|SNX1	3227	3909	3768	3097	4222	3376
ENSG00000028839.10|TBPL1	227.81	296.47	316.46	270.27	467.76	418.18
ENSG00000029153.14|ARNTL2	493	653	735	597	780	804
ENSG00000029363.16|BCLAF1	3861.36	4765.08	4370.64	3471.25	4025.82	3630.53
ENSG00000029364.12|SLC39A9	2371	2800	2688	2029	2534	2105
ENSG00000029534.20|ANK1	408.56	525	500.57	440	393	376
ENSG00000029639.11|TFB1M	114.7	130.31	166.65	130.55	191.86	165.41
ENSG00000029725.17|RABEP1	2581.37	3053.22	2831.2	2131.71	2748.65	2281.04
ENSG00000029993.15|HMGB3	2142	2808	3009	2217	2310	2130
ENSG00000030066.13|NUP160	1167	1463	1386	1160	1557	1383
ENSG00000030110.13|BAK1	556	759	678	519.98	758	780
ENSG00000030419.16|IKZF2	6	19	12	10	4	3
ENSG00000030582.18|GRN	10365	13122	8843	7560	17060	15355
ENSG00000031003.10|FAM13B	970	1282	1217	969	1137	971
ENSG00000031081.10|ARHGAP31	686	857	756	575	1030	866
ENSG00000031691.7|CENPQ	200	246	285	250	278	265
ENSG00000031698.13|SARS	2833	3512	2915	2246	3392	2970
ENSG00000031823.14|RANBP3	1498	1841	1606	1401	1569	1409
ENSG00000032219.18|ARID4A	798	912	890	805	737	684
ENSG00000032389.12|EIPR1	526	604	498	346	458	434
ENSG00000032444.16|PNPLA6	1329	1657	1230	894	1494	1390
ENSG00000032742.17|IFT88	264	283	248	185	221	170
ENSG00000033011.12|ALG1	500.7	661.3	553.72	387.26	491.17	387.87
ENSG00000033030.13|ZCCHC8	536	730	662	535	583	558
ENSG00000033050.9|ABCF2	728.53	968.17	677.06	513.45	1046.34	964.59
ENSG00000033100.16|CHPF2	1282	1450	1352	1017	1679.89	1513.8
ENSG00000033170.16|FUT8	751.81	900	898.79	726	804	690
ENSG00000033178.13|UBA6	591	689	744	581	825	636
ENSG00000033327.13|GAB2	1815	2232	2165	1723	1965	1799
ENSG00000033627.16|ATP6V0A1	4231	5383	4637	3671	5137	4580
ENSG00000033800.13|PIAS1	1053.58	1291.34	1312.88	1042.09	1272.84	1062.65
