Ctrl_417_R1B1	Ola_417_R1B1	Ctrl_417_R2B2	Ola_417_R2B2	Ctrl_417_R3B2	Ola_417_R3B2
ENSG00000020256.20|ZFP64	319	252	272	253	185	209
ENSG00000020426.11|MNAT1	532	355	407	398	568	459
ENSG00000020577.13|SAMD4A	604	475	572	616	1107	1029
ENSG00000020922.12|MRE11	470	283	330	414	515	461
ENSG00000021300.14|PLEKHB1	1899	1492	1876	1852	737	714
ENSG00000021574.12|SPAST	822	625	615	678	617	565
ENSG00000021762.20|OSBPL5	192	190	186	204	154	226
ENSG00000021776.11|AQR	1251	956	1135	1201	1304	1128
ENSG00000021826.15|CPS1	123	101	194	193	237	227
ENSG00000022267.17|FHL1	2108	1522	1572	1573	1927	1896
ENSG00000022277.12|RTF2	2216	1751	1753.63	1913	1864	1736
ENSG00000022567.9|SLC45A4	258	179	159	225	215	277
ENSG00000022840.16|RNF10	2722	2219	1996	2337	2374	2310
ENSG00000022976.15|ZNF839	301.78	220.36	238.36	285.37	211.11	251.3
ENSG00000023041.11|ZDHHC6	1064	797	853	915	1237	1210
ENSG00000023171.18|GRAMD1B	1548	1247	1285	1309	903	908
ENSG00000023191.17|RNH1	1054	981	881	908	646	1097
ENSG00000023228.14|NDUFS1	4784.38	3677.17	3841.22	4071.56	3742.9	3531.37
ENSG00000023287.13|RB1CC1	1203	958	1007	1091	974	974
ENSG00000023318.8|ERP44	1495	1111	1198	1318	1277	1116
ENSG00000023330.15|ALAS1	1564	1148	1227	1336	2003	2053
ENSG00000023516.9|AKAP11	1950	1516	1986	2048	2087	1934
ENSG00000023572.9|GLRX2	577.49	372.98	455.8	495.36	598.19	478.68
ENSG00000023608.5|SNAPC1	248.29	187.34	206.26	242	281	243
ENSG00000023697.13|DERA	682	461	477	525	522	476
ENSG00000023734.11|STRAP	2389	1859	1725	1954	2261	2308
ENSG00000023839.11|ABCC2	12	8	7	19	12	9
ENSG00000023892.11|DEF6	17	7	17	15	9	15
ENSG00000023902.14|PLEKHO1	431	362	484	488	654	658
ENSG00000023909.10|GCLM	529	424	394	429	666	612
ENSG00000024048.10|UBR2	1597	1306	1249	1431	1529	1382
ENSG00000024526.17|DEPDC1	899.72	662.82	964.66	1080.94	1174.32	1105.7
ENSG00000024862.17|CCDC28A	159.84	119	112	101	190	157
ENSG00000025039.14|RRAGD	3054	2472	2778	3223	3930	3648
ENSG00000025156.12|HSF2	498	383	414	449	505	429
ENSG00000025293.17|PHF20	1513	1206	1302	1371	1276	1152
ENSG00000025423.11|HSD17B6	17	15	30	41	4	9.03
ENSG00000025434.19|NR1H3	433.41	333	346	316.01	234	279
ENSG00000025708.14|TYMP	26.17	20	22	27	25	35
ENSG00000025770.19|NCAPH2	2067.31	1667.26	1592.12	1926.2	1392.59	1668.83
ENSG00000025772.8|TOMM34	1606	1207	1288	1360	2064	1999
ENSG00000025796.14|SEC63	3031.78	2336.79	2526.58	2597.85	2740.52	2615.63
ENSG00000025800.14|KPNA6	1681.73	1259.34	1376	1543	1498	1450
ENSG00000026025.16|VIM	32	26	36	32	22	26
ENSG00000026036.22|RTEL1-TNFRSF6B	411.62	345.13	280.14	314.63	225.97	312.1
ENSG00000026103.22|FAS	269.94	224.02	233.32	302.01	221.98	246.08
ENSG00000026297.15|RNASET2	720.09	691	507	536.3	2251	2230
ENSG00000026508.18|CD44	10900	8825	8802	9132	10448	10622
ENSG00000026652.14|AGPAT4	561	499	480	519	392	346
ENSG00000026950.17|BTN3A1	1250.49	953.97	943.75	1054.69	847.44	836.39
ENSG00000027001.10|MIPEP	283	208	201	252	353	348
ENSG00000027644.5|INSRR	311	300	277	347	160	200
ENSG00000027697.14|IFNGR1	1136	794	886	889	817	740
ENSG00000027847.14|B4GALT7	328	254	265	260	198	292
ENSG00000028203.18|VEZT	1517	1137	1140	1296	1609	1336
ENSG00000028310.18|BRD9	1039.76	810.65	792.79	875.78	820.98	794.17
ENSG00000028528.15|SNX1	4196	3227	3549	3768	4439	4222
ENSG00000028839.10|TBPL1	321.3	227.81	279.68	316.46	474.34	467.76
ENSG00000029153.14|ARNTL2	774	493	546	735	900	780
ENSG00000029363.16|BCLAF1	4889.94	3861.36	4185.41	4370.64	4178.68	4025.82
ENSG00000029364.12|SLC39A9	2971	2371	2239	2688	2566	2534
ENSG00000029534.20|ANK1	491.07	408.56	481.43	500.57	338	393
ENSG00000029639.11|TFB1M	191.49	114.7	142.16	166.65	245.55	191.86
ENSG00000029725.17|RABEP1	3344.92	2581.37	2612.79	2831.2	2871.61	2748.65
ENSG00000029993.15|HMGB3	2923	2142	2512	3009	2489	2310
ENSG00000030066.13|NUP160	1503	1167	1206	1386	1664	1557
ENSG00000030110.13|BAK1	797.99	556	530.99	678	667	758
ENSG00000030582.18|GRN	10967	10365	8392	8843	11396	17060
ENSG00000031003.10|FAM13B	1364	970	1029	1217	1272.97	1137
ENSG00000031081.10|ARHGAP31	802	686	644	756	948	1030
ENSG00000031691.7|CENPQ	274	200	263	285	319	278
ENSG00000031698.13|SARS	3791	2833	2804	2915	3489	3392
ENSG00000031823.14|RANBP3	1858	1498	1524	1606	1326	1569
ENSG00000032219.18|ARID4A	934	798	923	890	854	737
ENSG00000032389.12|EIPR1	634	526	453	498	511	458
ENSG00000032444.16|PNPLA6	1451	1329	1017	1230	1041	1494
ENSG00000032742.17|IFT88	346	264	210	248	239	221
ENSG00000033011.12|ALG1	685.73	500.7	489.05	553.72	448.34	491.17
ENSG00000033030.13|ZCCHC8	721	536	643	662	616	583
ENSG00000033050.9|ABCF2	984.23	728.53	710.93	677.06	921.28	1046.34
ENSG00000033100.16|CHPF2	1506.77	1282	1384.64	1352	1285	1679.89
ENSG00000033170.16|FUT8	986.97	751.81	828.86	898.79	834.68	804
ENSG00000033178.13|UBA6	723	591	676	744	842	825
ENSG00000033327.13|GAB2	2237	1815	2032	2165	1950	1965
ENSG00000033627.16|ATP6V0A1	5378	4231	4283	4637	4760	5137
ENSG00000033800.13|PIAS1	1400.35	1053.58	1175.13	1312.88	1374.23	1272.84
ENSG00000033867.16|SLC4A7	752	511	546	624	1781	1642
ENSG00000034053.14|APBA2	312	314	327	337	424	577
ENSG00000034152.18|MAP2K3	870	726	618	692	843	905
