LMP_417_R1B1	LMP.Olap_417_R1B1	LMP_417_R2B2	LMP.Olap_417_R2B2	LMP_417_R3B2	LMP.Olap_417_R3B2
ENSG00000025800.14|KPNA6	1469	1646	1257	1147.23	1230.68	1237.98
ENSG00000026025.16|VIM	25	24	29	26	20	20
ENSG00000026036.22|RTEL1-TNFRSF6B	409.05	409.92	312.95	338.12	265.51	284.11
ENSG00000026103.22|FAS	225.52	261.14	276.21	217.45	222.97	191.14
ENSG00000026297.15|RNASET2	665.68	774	495	406.34	1816.24	1436.48
ENSG00000026508.18|CD44	8702	11094	8723	8096	9147	8968
ENSG00000026652.14|AGPAT4	469	512	424	386	279	274
ENSG00000026950.17|BTN3A1	1190.56	1095.06	890	836.4	639.83	557.61
ENSG00000027001.10|MIPEP	246	230	198	166	294.06	286
ENSG00000027644.5|INSRR	335	409	348	323.87	121	135
ENSG00000027697.14|IFNGR1	864	956	790	685	678	595
ENSG00000027847.14|B4GALT7	268	290	201	228	257	234
ENSG00000028203.18|VEZT	1257	1391	1054	997	1425	1314
ENSG00000028310.18|BRD9	885.43	1076.87	743.71	631.57	791.14	718.27
ENSG00000028528.15|SNX1	3669	3909	3389	3097	3726	3376
ENSG00000028839.10|TBPL1	241.26	296.47	263.94	270.27	402.95	418.18
ENSG00000029153.14|ARNTL2	547	653	672	597	786	804
ENSG00000029363.16|BCLAF1	4308.63	4765.08	3994.33	3471.25	3890.8	3630.53
ENSG00000029364.12|SLC39A9	2423	2800	2322	2029	2235	2105
ENSG00000029534.20|ANK1	520	525	415	440	356.82	376
ENSG00000029639.11|TFB1M	151.7	130.31	172.62	130.55	197.01	165.41
ENSG00000029725.17|RABEP1	2635.34	3053.22	2344.47	2131.71	2455.76	2281.04
ENSG00000029993.15|HMGB3	2473	2808	2668	2217	2334	2130
ENSG00000030066.13|NUP160	1236	1463	1187	1160	1547	1383
ENSG00000030110.13|BAK1	648.99	759	525	519.98	719.99	780
ENSG00000030582.18|GRN	11132	13122	7759	7560	14394	15355
ENSG00000031003.10|FAM13B	1066.99	1282	1037	969	1009	971
ENSG00000031081.10|ARHGAP31	742	857	591	575	921	866
ENSG00000031691.7|CENPQ	223	246	295	250	246	265
ENSG00000031698.13|SARS	3269	3512	2484	2246	3034	2970
ENSG00000031823.14|RANBP3	1692	1841	1357	1401	1382	1409
ENSG00000032219.18|ARID4A	843	912	948	805	694	684
ENSG00000032389.12|EIPR1	542	604	438	346	411	434
ENSG00000032444.16|PNPLA6	1393	1657	944	894	1167	1390
ENSG00000032742.17|IFT88	272	283	208	185	212	170
ENSG00000033011.12|ALG1	608.48	661.3	448.16	387.26	486.43	387.87
ENSG00000033030.13|ZCCHC8	603	730	606	535	574	558
ENSG00000033050.9|ABCF2	790.03	968.17	620.4	513.45	884.8	964.59
ENSG00000033100.16|CHPF2	1339.8	1450	1133	1017	1497	1513.8
ENSG00000033170.16|FUT8	784.92	900	740.88	726	672	690
ENSG00000033178.13|UBA6	621	689	624	581	735	636
ENSG00000033327.13|GAB2	2036	2232	1825	1723	1757	1799
ENSG00000033627.16|ATP6V0A1	4802	5383	3956	3671	4516	4580
ENSG00000033800.13|PIAS1	1130.7	1291.34	1097.32	1042.09	1138.03	1062.65
ENSG00000033867.16|SLC4A7	560	740	571	509	1291	1264
ENSG00000034053.14|APBA2	255	343	222	243	496	487
ENSG00000034152.18|MAP2K3	791	890	626	497	868	994
ENSG00000034510.6|TMSB10	8104	9071	8269	8177	13096	12660
ENSG00000034533.11|ASTE1	174.93	152.59	168.15	128.09	146.95	161.56
ENSG00000034677.13|RNF19A	799	887.9	826.64	741.5	639	602
