Ctrl_827_R1B1	LMP.Olap_827_R1B1	Ctrl_827_R2B1	LMP.Olap_827_R2B1	Ctrl_827_R3B2	LMP.Olap_827_R3B2
ENSG00000010072.16|SPRTN	438.77	434.3	235.36	401.68	420.81	337.1
ENSG00000010165.20|EEF1AKNMT	1182	1191	896	1306	1231	949
ENSG00000010219.13|DYRK4	322	234.93	338.01	260	335	224
ENSG00000010244.18|ZNF207	3891	3327	4697	3794	4418.71	3145
ENSG00000010256.11|UQCRC1	3967	3628	4891	4781	4825	3597
ENSG00000010270.13|STARD3NL	917	694	829	746	870	649
ENSG00000010278.14|CD9	1626	1594	15182	4572	2150	2052
ENSG00000010292.13|NCAPD2	3714.82	2317.47	2745.37	2775.83	4194.78	2400.08
ENSG00000010295.19|IFFO1	864	868	1027	1200	951	749
ENSG00000010310.9|GIPR	32	17	103	54	29	33
ENSG00000010318.21|PHF7	80	78	90	85	107	62
ENSG00000010319.6|SEMA3G	7	7	3	14	19	10
ENSG00000010322.16|NISCH	2582	2862	2813	3606	2794	2324
ENSG00000010327.10|STAB1	14.06	20.06	8.04	17.01	7.02	19.05
ENSG00000010361.13|FUZ	254.96	265.31	216.35	319.88	347.82	278.6
ENSG00000010404.18|IDS	6532.7	6497.94	7239.35	7024.47	6706.69	5493.5
ENSG00000010539.11|ZNF200	250	241	207	235	280	194
ENSG00000010626.15|LRRC23	116.53	105.53	114.65	147.1	120.64	113.54
ENSG00000010704.18|HFE	548	482	398	492	572	487
ENSG00000010803.16|SCMH1	692	507	575.98	550	762	428
ENSG00000010810.17|FYN	6151	4727	5970	5625	6751	4261
ENSG00000010818.10|HIVEP2	569	575	664.08	603	591	466
ENSG00000011007.12|ELOA	1434.65	1274.42	1171.98	1310.69	1529.7	1143.29
ENSG00000011009.11|LYPLA2	470	488	360	570	479	425
ENSG00000011021.23|CLCN6	892	593.98	1172.75	781	1000	662
ENSG00000011028.14|AC080038.1	3494.79	3054.76	3360.44	4508.91	4003.53	3101.83
ENSG00000011052.21|NME1-NME2	376.63	373.39	228.77	384.91	537.58	370.15
ENSG00000011105.14|TSPAN9	2020	2256	3619	3022	2199	1952
ENSG00000011114.15|BTBD7	682	631	593	685	710	566
ENSG00000011132.12|APBA3	327.64	306	291	383	370.7	297
ENSG00000011143.16|MKS1	408	463	386	459	490	402
ENSG00000011198.9|ABHD5	1045	939	855	1008	1182	820
ENSG00000011201.12|ANOS1	436	359	332	380	440	304
ENSG00000011243.18|AKAP8L	2423.84	2258.54	3921.26	2862.44	2705.21	1995.59
ENSG00000011258.16|MBTD1	472	439	617	463	543	383
ENSG00000011260.14|UTP18	900	830	679	903	1044	679
ENSG00000011275.18|RNF216	1900	1867.01	1500.36	2087.08	2083.29	1475.3
ENSG00000011295.16|TTC19	1425.99	1360.96	1728.2	1595.55	1492.95	1193.25
ENSG00000011304.20|PTBP1	5845	4331	4399	5414	6872	4329
ENSG00000011332.19|DPF1	370	267	438	332	440	312
ENSG00000011347.9|SYT7	25	30	75	34	17	17
ENSG00000011376.11|LARS2	1882	1723	1111	1732	1855	1458
ENSG00000011405.13|PIK3C2A	1221	999	974	988	1148	803
ENSG00000011422.12|PLAUR	231	139	194	162	256	156
ENSG00000011426.11|ANLN	3790	1919	2115	2335	4360	2193
ENSG00000011451.19|WIZ	2411	2179	1821	3199	2806	2068
ENSG00000011454.17|RABGAP1	1443	1349	1377	1427	1514	1154
ENSG00000011465.17|DCN	645	464	315	405	607	403
ENSG00000011478.12|QPCTL	154	121	184	201	221	152
ENSG00000011485.14|PPP5C	1807	1588	1153.76	1912	2147	1384
ENSG00000011523.14|CEP68	341	438.03	334.04	475	353	354.24
ENSG00000011566.15|MAP4K3	992	784	870	831	1024	649
ENSG00000011638.10|TMEM159	46	45	61	31	41	31
ENSG00000011677.13|GABRA3	1387	1384	846	1254	1115	935
ENSG00000012048.22|BRCA1	1564	1106	863	1151	1713	1030
ENSG00000012061.15|ERCC1	2031.39	1824.32	1500.46	2248.49	2249.34	1656.32
ENSG00000012171.19|SEMA3B	441	391	339	546	547	404
ENSG00000012174.12|MBTPS2	1181.39	1083.6	1053.69	1306	1371.7	977
ENSG00000012211.13|PRICKLE3	58.68	85.22	42.58	77.04	74.99	68.71
ENSG00000012232.8|EXTL3	5469	4201	3325	4915	5983	3796
ENSG00000012660.14|ELOVL5	3588	2812	2109	2716	3954	2631
ENSG00000012817.15|KDM5D	1008	822	1163	988	1123	794
ENSG00000012822.16|CALCOCO1	970	1028	2406	1480	1060	941
ENSG00000012963.15|UBR7	1330.66	1178	923	1230.47	1609.1	1043
ENSG00000012983.11|MAP4K5	970	770	809	854	984	773
ENSG00000013016.16|EHD3	572	520	270	563	544	404
ENSG00000013275.7|PSMC4	2383	2172	1586	2538	2705	2018
ENSG00000013288.8|MAN2B2	267	299	214	357	296	266
ENSG00000013306.16|SLC25A39	1391	1402	1147	1620	1468	1176
ENSG00000013364.19|MVP	864.27	1027.08	679	1230.61	993	913.97
