Ctrl_417_R1B1	LMP_417_R1B1	Ola_417_R1B1	LMP.Olap_417_R1B1	Ctrl_417_R2B2	LMP_417_R2B2	Ola_417_R2B2	LMP.Olap_417_R2B2	Ctrl_417_R3B2	LMP_417_R3B2	Ola_417_R3B2	LMP.Olap_417_R3B2
ENSG00000011105.14|TSPAN9	933	801	749	992	895	772	952	735	1235	1190	1412	1237
ENSG00000011114.15|BTBD7	1280	1104	1014	1190	1115	1006	1150	897	1165	928	1066	851
ENSG00000011132.12|APBA3	275.7	316	249	349	202.79	236	249.85	216	208	232	264	253.46
ENSG00000011143.16|MKS1	459	465	375	458	333	362	373	319	375	322	357	339
ENSG00000011198.9|ABHD5	1037	767	727	907	698	712	762	761	1267	1076	1158	1054
ENSG00000011243.18|AKAP8L	2158.32	2131.48	1705.75	2268.81	1910.97	1603.2	1920.66	1632.39	1776.38	1724.65	1773.75	1594.09
ENSG00000011258.16|MBTD1	629	541	496	517	563	502	530	403	474	374	470	386
ENSG00000011260.14|UTP18	1232	940	895	1030	801	850	979	664	1095	937	1002	894
ENSG00000011275.18|RNF216	3037.31	2666.86	2544.51	2970.41	2413.73	2128.6	2629.72	1867.37	2057.3	1853.3	2200.09	1932.35
ENSG00000011295.16|TTC19	2199.79	1643	1644.98	1853.87	1659.49	1583	1681.17	1407.81	2172.69	1964.96	1993.18	1793.75
ENSG00000011304.20|PTBP1	4919	4269	4015	4833	4392	4074	4678	3717	3741	4186	4291	4420
ENSG00000011332.19|DPF1	353	270	244	287	280	271	306	276	273	296	314	295
ENSG00000011347.9|SYT7	43	57	55	46	36	44	31	44	50	71	69	64
ENSG00000011376.11|LARS2	999	878	834	1015	800	740	941	690	1059	910	1092	890
ENSG00000011405.13|PIK3C2A	2283	2006	1753	2292	2537	2384	2795	2291	1867	1538	1787	1423
ENSG00000011422.12|PLAUR	29	26	17	14	15	21	27	20	18	17	30	15
ENSG00000011426.11|ANLN	2564	2174	2017	2896	2821	2969	2989	2692	4413	4578	4131	4270
ENSG00000011451.19|WIZ	1742	1927	1684	2163	1484	1395	1646	1331	1035	1366	1543	1564
ENSG00000011454.17|RABGAP1	3297	2885	2691	3132	2839	2549	3019	2439	2882	2376	2692	1972
ENSG00000011478.12|QPCTL	136	113	78	111	124	93	116	123	89	119	138	151
ENSG00000011485.14|PPP5C	1178	1137	901.37	1283	972	1029	1109.3	919	1016.56	1101	1046	1162
ENSG00000011523.14|CEP68	1053.26	948.67	796	1113.04	871	944.01	988.2	844	812	791.13	801.17	750
ENSG00000011566.15|MAP4K3	1827	1416	1410	1622	1564	1262	1596	1072	1606	1231	1415	1090
ENSG00000011638.10|TMEM159	285	271	214	270	199	229	250	185	254	216	240	188
ENSG00000012048.22|BRCA1	1133	932	808	1199	1093	1182	1176	1118	1647	1559	1538	1638
ENSG00000012061.15|ERCC1	1616.76	1368.4	1238.61	1461.61	1426.74	1083.23	1377	1005.34	1001.8	1013.64	1135.75	960.6
ENSG00000012124.17|CD22	6	0	2	5	1	1	0	2	7	2	14	15
ENSG00000012171.19|SEMA3B	209	276	193	283	183	164	176	212	72	115	147	125
ENSG00000012174.12|MBTPS2	1142.64	955.35	952.12	1110.64	995.18	856.42	994.94	715	916.84	823.43	864.37	670.32
ENSG00000012232.8|EXTL3	6370	5261.49	5401	5867	5846	4562.33	6435.34	4159	3968	3381	4279	3252
ENSG00000012660.14|ELOVL5	4759	3779	3756	4179	4150	4134	4449	3463	5015	4463	4683	4161
ENSG00000012817.15|KDM5D	1782	1585	1339	1624	1440	1213	1577	1196	1136	930	1107	896
ENSG00000012822.16|CALCOCO1	2216	2281	1668	2157	1709	1427	1691	1425	1700	1136	1526	968
ENSG00000012963.15|UBR7	2924	2544	2222.38	2807	2628.85	2545	2769	2200	3141.99	2859.59	2876	2766.98
ENSG00000012983.11|MAP4K5	1168	1054	876	1095	1078	1025	1098	864	1236	1057	1160	1006
ENSG00000013016.16|EHD3	432	370	339	397	333	265	378	208	210	180	234	176
