Ctrl_602_R1B1	LMP_602_R1B1	Ctrl_602_R2B2	LMP_602_R2B2
ENSG00000037474.15|NSUN2	1839	1908	2033	2013
ENSG00000037637.11|FBXO42	477	502	504	531
ENSG00000037749.12|MFAP3	337	406	414	414
ENSG00000037757.14|MRI1	773.14	697.39	767.3	908.48
ENSG00000037897.17|METTL1	208	149	183	218
ENSG00000037965.6|HOXC8	17	3	8	11
ENSG00000038002.9|AGA	377	356	327	373
ENSG00000038210.13|PI4K2B	326.74	380.52	388.38	333.02
ENSG00000038219.13|BOD1L1	998	1113	1097	1268
ENSG00000038274.17|MAT2B	691	755	790	794
ENSG00000038358.15|EDC4	2105.01	2126.61	1846.55	2477
ENSG00000038382.20|TRIO	8156	7916	8665	8390
ENSG00000038427.16|VCAN	8527	9728	10497	11165
ENSG00000038532.16|CLEC16A	484	466	446	425
ENSG00000039123.16|MTREX	1886.93	1922.24	2091.96	2020.3
ENSG00000039139.9|DNAH5	15	12	12	5
ENSG00000039319.17|ZFYVE16	2125.67	2413.99	2660.49	2812.99
ENSG00000039523.20|RIPOR1	1516	1569	1442	1851
ENSG00000039560.14|RAI14	526	525	645	644
ENSG00000039650.12|PNKP	524.2	426.57	493.47	588.55
ENSG00000040199.18|PHLPP2	578.32	654.79	723.91	791.23
ENSG00000040275.17|SPDL1	626	700	601	697
ENSG00000040341.18|STAU2	1095.46	1037.61	1234.69	1036.77
ENSG00000040487.13|PQLC2	316	321	313	335
ENSG00000040531.14|CTNS	363	380	400	419
ENSG00000040608.14|RTN4R	25	41	37	39
ENSG00000040633.13|PHF23	1022	1004	1134	1351
ENSG00000040933.15|INPP4A	608	716	680	748
ENSG00000041353.10|RAB27B	28	28	25	24
ENSG00000041357.16|PSMA4	3707	3632	3874	3927
ENSG00000041802.11|LSG1	824	852	923	910
ENSG00000041880.14|PARP3	216	223	231	236
ENSG00000041982.16|TNC	2643	1744	1975	1484
ENSG00000041988.15|THAP3	87.05	82.36	87.08	146.95
ENSG00000042088.13|TDP1	363	378	375	454
ENSG00000042286.15|AIFM2	11	19	18	9
ENSG00000042317.17|SPATA7	103.12	131	138	121.06
ENSG00000042429.12|MED17	806	914.33	1076.45	1063.15
ENSG00000042445.14|RETSAT	847.97	860.9	901.85	950.95
ENSG00000042753.11|AP2S1	592	679	574	620
ENSG00000042832.12|TG	54	54	41	49
ENSG00000043093.14|DCUN1D1	651	716	863	916
ENSG00000043143.20|JADE2	166	219	196	209
ENSG00000043355.12|ZIC2	96	91	100	113
ENSG00000043514.16|TRIT1	195	246	235	225
ENSG00000044090.8|CUL7	36.82	38	28.01	60
ENSG00000044115.21|CTNNA1	6992	6449	7844	7626
ENSG00000044446.11|PHKA2	212.86	223.6	256	240
ENSG00000044459.15|CNTLN	444	381	507	437
ENSG00000044524.11|EPHA3	7202	6349	9047	6882
ENSG00000044574.8|HSPA5	9381	8033	11062	9096
ENSG00000046647.13|GEMIN8	176	146	160	177
ENSG00000046651.15|OFD1	775	899	906	956
ENSG00000046653.15|GPM6B	10865	11591	11678	11453
ENSG00000046774.10|MAGEC2	43	35	55	35
ENSG00000047056.15|WDR37	442	456	435	528
ENSG00000047188.16|YTHDC2	1267	1461	1522	1542
ENSG00000047230.15|CTPS2	557	574	681	682
ENSG00000047249.18|ATP6V1H	560	583	633	581
ENSG00000047315.16|POLR2B	3763.69	3973.33	4149.76	4046.9
ENSG00000047346.12|FAM214A	533.47	560	564.81	544
ENSG00000047365.12|ARAP2	156	178	196	154
ENSG00000047410.14|TPR	5965	6244.98	6495.98	6886.99
ENSG00000047578.13|KIAA0556	539.53	493.26	505.68	574.93
ENSG00000047579.19|DTNBP1	300	271	303	258
ENSG00000047621.12|C12orf4	536	579	652	641
ENSG00000047634.15|SCML1	291	356	348	329
ENSG00000047644.18|WWC3	1120	1216	1223	1350
ENSG00000047648.22|ARHGAP6	264	189	233	291
ENSG00000047849.21|MAP4	3879	3601	3972	3990
ENSG00000047932.14|GOPC	563	634	692	683
ENSG00000048028.11|USP28	552	609	647	682
ENSG00000048052.21|HDAC9	1347	1358	1757	1840
