Ctrl_827_R1B1	Ola_827_R1B1	Ctrl_827_R2B1	Ola_827_R2B1	Ctrl_827_R3B2	Ola_827_R3B2
ENSG00000022277.12|RTF2	2525.75	2220	2250	1948	2850	2121.6
ENSG00000022567.9|SLC45A4	257	216	160	208	257	225
ENSG00000022840.16|RNF10	2423	2125	2943	2220	2624	2222
ENSG00000022976.15|ZNF839	202.96	201.93	110.56	147.38	183.85	200.3
ENSG00000023041.11|ZDHHC6	704.44	627	544	541	728	546
ENSG00000023171.18|GRAMD1B	180	153	120	143	150	146
ENSG00000023191.17|RNH1	1433	1203	1140	1287	1770	1463
ENSG00000023228.14|NDUFS1	3255.45	2894.56	3026.42	2711.48	3612.5	2874.75
ENSG00000023287.13|RB1CC1	1288	1204	1456	1119	1341	1031
ENSG00000023318.8|ERP44	1210	1067	1550	1022	1190	1074
ENSG00000023330.15|ALAS1	1875	1536	1344	1227	1803	1439
ENSG00000023516.9|AKAP11	1309	1208	1127	908	1250	1030
ENSG00000023572.9|GLRX2	493.91	449.12	394.89	353.84	532.39	420.83
ENSG00000023608.5|SNAPC1	178	181	130.96	126.77	179.6	160
ENSG00000023697.13|DERA	492	433	437	405	660	475
ENSG00000023734.11|STRAP	3190	2711	2318	2161	3241	2620
ENSG00000023902.14|PLEKHO1	710	543	1068	676	790	690
ENSG00000023909.10|GCLM	773	582	450	605	833	638
ENSG00000024048.10|UBR2	964	907	972	858	1048	850
ENSG00000024422.12|EHD2	1404	1287	3161	2214	1707	1665
ENSG00000024526.17|DEPDC1	1554.82	1337.43	719.44	976.67	1702.58	1227.77
ENSG00000024862.17|CCDC28A	191.75	203	880.88	489	212	214.81
ENSG00000025039.14|RRAGD	320	322	1018	586	363	387
ENSG00000025156.12|HSF2	502	431	465	409	573	436
ENSG00000025293.17|PHF20	1626	1482	1427	1303	1675	1334
ENSG00000025423.11|HSD17B6	92	63	44.02	54	77.06	54
ENSG00000025434.19|NR1H3	149	127	125	112	159	143
ENSG00000025770.19|NCAPH2	860.49	788.33	700.21	727.24	1195.08	983.2
ENSG00000025772.8|TOMM34	961	874	629	648	980	846
ENSG00000025796.14|SEC63	1759.44	1554.88	2323.86	1751.86	1903.29	1480.7
ENSG00000025800.14|KPNA6	1717	1583.48	1652.21	1512	1802	1467
ENSG00000026025.16|VIM	70274.17	60956.04	130648.85	84734.88	75193.75	64584.54
ENSG00000026036.22|RTEL1-TNFRSF6B	268.29	209.53	196.92	219.29	341.29	373.2
ENSG00000026103.22|FAS	1381.64	1324.34	1604.76	1313.85	1490.87	1227.19
ENSG00000026297.15|RNASET2	105	111	185	108.51	141.1	109
ENSG00000026508.18|CD44	5049	4549	6691	4470	5351	4173
ENSG00000026559.14|KCNG1	154	105	133	135	166.58	133
ENSG00000026652.14|AGPAT4	1031	893	909	825	920	804
ENSG00000026950.17|BTN3A1	748.09	692.93	934.43	666.33	864.66	669.58
ENSG00000027001.10|MIPEP	297	258	240	218	317	260
ENSG00000027644.5|INSRR	4	6	19	11	12	5
ENSG00000027697.14|IFNGR1	505	432	731	406	475	386
ENSG00000027847.14|B4GALT7	342	306	251	299	362	331
ENSG00000028116.17|VRK2	295.98	243.38	208.86	235.2	387.42	257.86
ENSG00000028137.19|TNFRSF1B	1647	1416	897	1254	2221	1798
ENSG00000028203.18|VEZT	1195	994	1342	980	1276	1048
ENSG00000028310.18|BRD9	553.5	482.33	607.64	482.07	629.19	501.38
ENSG00000028528.15|SNX1	2195	1940	1901	1818	2444	1928
ENSG00000028839.10|TBPL1	369.19	358.32	300.92	288.93	417.48	358.2
ENSG00000029153.14|ARNTL2	592	569	338	415	662	506
ENSG00000029363.16|BCLAF1	4895.69	4498.3	4047.32	3762.65	5342.11	4236.18
ENSG00000029364.12|SLC39A9	1762	1535	1895	1531	1819	1486
ENSG00000029534.20|ANK1	98	87	58	69	109	96
ENSG00000029639.11|TFB1M	119.36	99.88	99.24	76.68	113.73	84.78
ENSG00000029725.17|RABEP1	1936.97	1715.81	1672.52	1421.09	2024.24	1585.82
ENSG00000029993.15|HMGB3	1821	1575	1268	1275	2189	1603
ENSG00000030066.13|NUP160	1644	1369	1329	1130	1825	1314
ENSG00000030110.13|BAK1	379	324.97	375	315	480	359
ENSG00000030582.18|GRN	2065	1714	1844	1943	2382	2000
ENSG00000031003.10|FAM13B	867	889	862	766.99	1064.99	865
ENSG00000031081.10|ARHGAP31	1220	1061	730	841	1139	894
ENSG00000031691.7|CENPQ	232	250	196	184	308	204
ENSG00000031698.13|SARS	3148	2676	7614	4032	3451	2783
ENSG00000031823.14|RANBP3	2303	1871	1699	1678	2625	2100
ENSG00000032219.18|ARID4A	836	759	717	722	889	744
ENSG00000032389.12|EIPR1	357	288	264	257	417	315
ENSG00000032444.16|PNPLA6	2420.15	2165	1655	2169	2768	2459
ENSG00000032742.17|IFT88	265	238	289	219	306	210
ENSG00000033011.12|ALG1	502.58	422.73	302.33	361.09	542.45	408.4
ENSG00000033030.13|ZCCHC8	527	449	620	490	556	446
ENSG00000033050.9|ABCF2	1825.3	1637.63	1009.71	1160.68	1974.11	1488.5
ENSG00000033100.16|CHPF2	2160	1904.87	2144	2083.8	2486.93	2412
ENSG00000033170.16|FUT8	765	628.86	428	493	763.81	603.83
ENSG00000033178.13|UBA6	1814	1596	1843	1515	1826	1441
ENSG00000033327.13|GAB2	893	719	1045	813	1021	858
ENSG00000033627.16|ATP6V0A1	1611	1596	1753	1353	1532	1276
ENSG00000033800.13|PIAS1	911.16	810.22	845.51	679.68	1012.96	835.22
ENSG00000033867.16|SLC4A7	4146	4124	3892	3744	4128	3517
ENSG00000034053.14|APBA2	634	580	725	667	755	652
