Ctrl_602_R1B1	Ola_602_R1B1	Ctrl_602_R2B2	Ola_602_R2B2
ENSG00000035403.17|VCL	671.5	691.95	684.34	679.6
ENSG00000035499.13|DEPDC1B	522	659	631	584
ENSG00000035664.11|DAPK2	150	173	144	133
ENSG00000035681.9|NSMAF	1032	1194	1126	1048
ENSG00000035687.10|ADSS	827	904	989	836
ENSG00000035862.12|TIMP2	10166.06	11702.71	9764.09	10103.46
ENSG00000035928.16|RFC1	2120	2531	2369	1989
ENSG00000036054.13|TBC1D23	638	738	715	663
ENSG00000036257.13|CUL3	1680	2046	1906	1788
ENSG00000036448.10|MYOM2	65	60	37	62
ENSG00000036530.8|CYP46A1	19	11	22	18
ENSG00000036549.13|AC118549.1	560	547	590	478
ENSG00000036565.15|SLC18A1	191	248	234	291
ENSG00000036672.16|USP2	210	229	180	165
ENSG00000037042.9|TUBG2	602.17	603.53	585.62	636.92
ENSG00000037241.7|RPL26L1	321.92	345.97	327	300
ENSG00000037280.16|FLT4	27	36	20	26
ENSG00000037474.15|NSUN2	1839	2093	2033	1859
ENSG00000037637.11|FBXO42	477	549	504	488
ENSG00000037749.12|MFAP3	337	446	414	368
ENSG00000037757.14|MRI1	773.14	792.86	767.3	795.08
ENSG00000037897.17|METTL1	208	226	183	174
ENSG00000037965.6|HOXC8	17	10	8	13
ENSG00000038002.9|AGA	377	353	327	297
ENSG00000038210.13|PI4K2B	326.74	391.09	388.38	359.19
ENSG00000038219.13|BOD1L1	998	1341	1097	1109
ENSG00000038274.17|MAT2B	691	818	790	719
ENSG00000038358.15|EDC4	2105.01	2301.94	1846.55	2071.55
ENSG00000038382.20|TRIO	8156	9609	8665	7756
ENSG00000038427.16|VCAN	8527	11007	10497	9743
ENSG00000038532.16|CLEC16A	484	498	446	454
ENSG00000039123.16|MTREX	1886.93	2139.77	2091.96	1860.47
ENSG00000039139.9|DNAH5	15	18	12	10
ENSG00000039319.17|ZFYVE16	2125.67	2634.61	2660.49	2219.06
ENSG00000039523.20|RIPOR1	1516	1676	1442	1564
ENSG00000039560.14|RAI14	526	638	645	563
ENSG00000039650.12|PNKP	524.2	590.62	493.47	482.73
ENSG00000040199.18|PHLPP2	578.32	793.86	723.91	694
ENSG00000040275.17|SPDL1	626	719	601	640
ENSG00000040341.18|STAU2	1095.46	1167.22	1234.69	1133.38
ENSG00000040487.13|PQLC2	316	342	313	320
ENSG00000040531.14|CTNS	363	414	400	368
ENSG00000040608.14|RTN4R	25	40	37	59
ENSG00000040633.13|PHF23	1022	1122	1134	1132
ENSG00000040933.15|INPP4A	608	775	680	683
ENSG00000041353.10|RAB27B	28	40	25	17
ENSG00000041357.16|PSMA4	3707	3989	3874	3486
ENSG00000041802.11|LSG1	824	951	923	851
ENSG00000041880.14|PARP3	216	223	231	261
ENSG00000041982.16|TNC	2643	2581	1975	1819
ENSG00000041988.15|THAP3	87.05	104	87.08	91.16
ENSG00000042088.13|TDP1	363	388	375	361
ENSG00000042286.15|AIFM2	11	13	18	10
ENSG00000042317.17|SPATA7	103.12	136.24	138	115.02
ENSG00000042429.12|MED17	806	1068.69	1076.45	941.98
ENSG00000042445.14|RETSAT	847.97	850.66	901.85	843.83
ENSG00000042753.11|AP2S1	592	607	574	613
ENSG00000042832.12|TG	54	47	41	31
ENSG00000043093.14|DCUN1D1	651	843	863	750
ENSG00000043143.20|JADE2	166	149	196	180
ENSG00000043355.12|ZIC2	96	116	100	94
ENSG00000043514.16|TRIT1	195	252	235	208
ENSG00000044090.8|CUL7	36.82	51.53	28.01	49
ENSG00000044115.21|CTNNA1	6992	7896	7844	7726
ENSG00000044446.11|PHKA2	212.86	281	256	249
ENSG00000044459.15|CNTLN	444	504	507	435
ENSG00000044524.11|EPHA3	7202	9343	9047	7838
ENSG00000044574.8|HSPA5	9381	10050	11062	10216
ENSG00000046647.13|GEMIN8	176	218	160	172
ENSG00000046651.15|OFD1	775	903	906	817
ENSG00000046653.15|GPM6B	10865	12776	11678	10469
ENSG00000046774.10|MAGEC2	43	56	55	43
ENSG00000047056.15|WDR37	442	511	435	428
ENSG00000047188.16|YTHDC2	1267	1509	1522	1293
ENSG00000047230.15|CTPS2	557	689	681	613
ENSG00000047249.18|ATP6V1H	560	576	633	644
ENSG00000047315.16|POLR2B	3763.69	4377.58	4149.76	3906.59
ENSG00000047346.12|FAM214A	533.47	678	564.81	508.41
ENSG00000047365.12|ARAP2	156	203	196	183
ENSG00000047410.14|TPR	5965	7059	6495.98	5835
ENSG00000047578.13|KIAA0556	539.53	561.27	505.68	491.77
ENSG00000047579.19|DTNBP1	300	336	303	252
ENSG00000047621.12|C12orf4	536	605	652	586
ENSG00000047634.15|SCML1	291	386	348	327
ENSG00000047644.18|WWC3	1120	1394	1223	1217
ENSG00000047648.22|ARHGAP6	264	288	233	246
ENSG00000047849.21|MAP4	3879	4382	3972	4040
ENSG00000047932.14|GOPC	563	686	692	623.96
