Ola_827_R1B1	LMP.Olap_827_R1B1	Ola_827_R2B1	LMP.Olap_827_R2B1	Ola_827_R3B2	LMP.Olap_827_R3B2
ENSG00000026103.22|FAS	1324.34	1800.13	1313.85	1793.31	1227.19	1252.63
ENSG00000026297.15|RNASET2	111	117	108.51	135	109	101
ENSG00000026508.18|CD44	4549	6222	4470	7087	4173	4848
ENSG00000026559.14|KCNG1	105	174.69	135	242	133	151
ENSG00000026652.14|AGPAT4	893	828	825	960	804	756
ENSG00000026950.17|BTN3A1	692.93	700.89	666.33	814.92	669.58	628.28
ENSG00000027001.10|MIPEP	258	241	218	264	260	221
ENSG00000027697.14|IFNGR1	432	403	406	446	386	388
ENSG00000027847.14|B4GALT7	306	304	299	413	331	291
ENSG00000028116.17|VRK2	243.38	259.49	235.2	303.65	257.86	249.6
ENSG00000028137.19|TNFRSF1B	1416	1452	1254	1737	1798	1674
ENSG00000028203.18|VEZT	994	1040	980	1138	1048	902
ENSG00000028310.18|BRD9	482.33	486	482.07	627.62	501.38	509.08
ENSG00000028528.15|SNX1	1940	2020	1818	2190	1928	1839
ENSG00000028839.10|TBPL1	358.32	373.26	288.93	394.69	358.2	342.01
ENSG00000029153.14|ARNTL2	569	456	415	462	506	395
ENSG00000029363.16|BCLAF1	4498.3	4175.97	3762.65	4188.32	4236.18	3750.39
ENSG00000029364.12|SLC39A9	1535	1601	1531	1773	1486	1375
ENSG00000029534.20|ANK1	87	119	69	141.33	96	100
ENSG00000029639.11|TFB1M	99.88	113.89	76.68	121.33	84.78	86.19
ENSG00000029725.17|RABEP1	1715.81	1606.26	1421.09	1661.36	1585.82	1449.72
ENSG00000029993.15|HMGB3	1575	1319	1275	1459	1603	1413
ENSG00000030066.13|NUP160	1369	1269	1130	1268	1314	1110
ENSG00000030110.13|BAK1	324.97	448.9	315	538	359	440
ENSG00000030582.18|GRN	1714	2025	1943	2981	2000	1986
ENSG00000031003.10|FAM13B	889	797	766.99	945	865	744
ENSG00000031081.10|ARHGAP31	1061	932	841	1074	894	783
ENSG00000031691.7|CENPQ	250	149	184	202	204	173
ENSG00000031698.13|SARS	2676	3625	4032	4466	2783	2930
ENSG00000031823.14|RANBP3	1871	1954	1678	2377	2100	1801
ENSG00000032219.18|ARID4A	759	802	722	817	744	782
ENSG00000032389.12|EIPR1	288	288	257	420	315	238
ENSG00000032444.16|PNPLA6	2165	2451	2169	3358	2459	2257
ENSG00000032742.17|IFT88	238	232	219	250	210	214
ENSG00000033011.12|ALG1	422.73	444.65	361.09	520.92	408.4	414.11
ENSG00000033030.13|ZCCHC8	449	457	490	535	446	362
ENSG00000033050.9|ABCF2	1637.63	1627.68	1160.68	1858.26	1488.5	1452.97
ENSG00000033100.16|CHPF2	1904.87	2132.22	2083.8	2997	2412	1946.84
ENSG00000033170.16|FUT8	628.86	604.88	493	647	603.83	485
ENSG00000033178.13|UBA6	1596	1427	1515	1657	1441	1358
ENSG00000033327.13|GAB2	719	744	813	852	858	757
ENSG00000033627.16|ATP6V0A1	1596	1551	1353	1679	1276	1147
ENSG00000033800.13|PIAS1	810.22	807.55	679.68	806.28	835.22	726.86
ENSG00000033867.16|SLC4A7	4124	4071	3744	4250	3517	3507
ENSG00000034053.14|APBA2	580	537	667	785	652	580
